,Year,Country,Teen_fertility,ATMs,Compulsory_Ed,GDP_pc,Immunization_measles,Internet_use,Maternal_mort_ratio,Region,Continent,log_ATMs,log_MMR,log_GDP,log_internet
0,2010,Afghanistan,98.6322,0.532063581331937,9.0,550.514973976336,62.0,4.0,584.0,Southern Asia,Asia,-0.6309922829998593,6.369900982828227,6.310854156476428,1.3862943611198906
1,2010,Albania,19.8208,34.1367913297442,8.0,4094.36020359235,99.0,45.0,30.0,Southern Europe,Europe,3.530375727294539,3.4011973816621555,8.317365745641688,3.8066624897703196
2,2010,Algeria,10.8084,5.89580791320884,10.0,4463.39467488951,95.0,12.5,147.0,Northern Africa,Africa,1.7742415751855019,4.990432586778736,8.403664893363185,2.5257286443082556
3,2010,Angola,172.0946,10.467709268917,6.0,3585.90555256868,67.0,2.8,561.0,Middle Africa,Africa,2.3482952109651523,6.329720905522696,8.184766315995777,1.0296194171811581
4,2010,Argentina,63.8792,41.9075892170065,13.0,10276.2604977053,95.0,45.0,58.0,South America,South America,3.735466937424126,4.060443010546419,9.237591708016026,3.8066624897703196
5,2010,Armenia,27.443,34.0472907806927,11.0,3218.38165488465,97.0,25.0,33.0,Western Asia,Asia,3.5277504635178776,3.4965075614664802,8.076633920546206,3.2188758248682006
6,2010,Australia,15.7206,168.656399783742,10.0,51936.8887116461,94.0,76.0,6.0,Australia and New Zealand,Oceania,5.127863507919271,1.791759469228055,10.85778458183701,4.330733340286331
7,2010,Austria,9.5292,112.918310809651,8.0,46858.0432733717,80.0,75.17,4.0,Western Europe,Europe,4.726664644095671,1.3862943611198906,10.754877954326345,4.319752215189378
8,2010,Azerbaijan,44.7724,27.0798538336898,9.0,5842.80578358576,89.0,46.0,27.0,Western Asia,Asia,3.2987900504552754,3.295836866004329,8.6729664028416,3.828641396489095
9,2010,"Bahamas, The",35.425,65.8276032312767,12.0,27979.1149343739,94.0,43.0,85.0,Caribbean,North America,4.187039252359996,4.442651256490317,10.239213615638178,3.7612001156935624
10,2010,Bahrain,14.3106,38.093681058864625,9.0,20722.1038895508,99.0,55.0,16.0,Western Asia,Asia,3.6400484169044094,2.772588722239781,9.938956230289662,4.007333185232471
11,2010,Bangladesh,90.4654,2.0534839131174,5.0,757.671757176894,88.0,3.7,242.0,Southern Asia,Asia,0.7195378204989117,5.488937726156687,6.630250253829123,1.308332819650179
12,2010,Barbados,47.2896,37.0737633889886,11.0,16203.155571612,85.0,65.1,33.0,Caribbean,North America,3.6129095331585876,3.4965075614664802,9.692961290622796,4.175924549214524
13,2010,Belarus,21.5848,37.9006422053209,9.0,6181.39991568753,99.0,31.8,5.0,Eastern Europe,Europe,3.6349680566762426,1.6094379124341003,8.72930004837318,3.459466289786131
14,2010,Belgium,7.6294,91.761228487427,12.0,44380.1766327308,95.0,75.0,8.0,Western Europe,Europe,4.519189860781049,2.0794415416798357,10.700548176486118,4.31748811353631
15,2010,Belize,72.317,37.2297218891425,8.0,4342.9631725579,98.0,28.2,37.0,Central America,North America,3.6171074177826577,3.6109179126442243,8.376312152774693,3.339321977944068
16,2010,Benin,101.2906,2.51657503429801,6.0,757.695907409377,68.0,3.13,446.0,Western Africa,Africa,0.9228988637172446,6.100318952020064,6.630282127588937,1.1410330045520618
17,2010,Bhutan,37.1006,8.31375312508042,9.233532934131736,2178.92138307967,95.0,13.6,204.0,Southern Asia,Asia,2.1179111465094222,5.318119993844216,7.686585254936089,2.6100697927420065
18,2010,Bolivia,76.2958,20.1142048428769,14.0,1981.17011618476,88.0,22.4,253.0,South America,South America,3.0014262740649373,5.53338948872752,7.591442916905976,3.109060958860994
19,2010,Bosnia and Herzegovina,13.7102,35.0130565537395,9.0,4614.8290411405,91.0,42.75,13.0,Southern Europe,Europe,3.5557210363182112,2.5649493574615367,8.43703010207756,3.755369195382769
20,2010,Botswana,42.899,28.9635207789187,9.233532934131736,6346.15620387349,96.0,6.0,169.0,Southern Africa,Africa,3.366037133985703,5.1298987149230735,8.755604586380626,1.791759469228055
21,2010,Brazil,67.955,118.356731940034,9.0,11224.1540829355,99.0,40.65,65.0,South America,South America,4.773703215964889,4.174387269895637,9.325823349675908,3.7049988359938197
22,2010,Brunei Darussalam,15.0682,82.0082286222618,9.0,35268.1011703581,94.0,53.0,27.0,South-Eastern Asia,Asia,4.406819591281597,3.295836866004329,10.470734184819058,3.970291913552122
23,2010,Bulgaria,43.7244,90.3071226648696,9.0,6843.26694975885,97.0,46.23,11.0,Eastern Europe,Europe,4.503216335107041,2.3978952727983707,8.831020520824199,3.833628938000134
24,2010,Burkina Faso,121.1052,1.34652659294692,10.0,575.446452687734,92.0,2.4,417.0,Western Africa,Africa,0.2975283827565735,6.0330862217988015,6.355146178981101,0.8754687373538999
25,2010,Burundi,31.292,0.510019537828455,9.233532934131736,231.795536921138,92.0,1.0,808.0,Eastern Africa,Africa,-0.6733062445299957,6.694562058521095,5.445855676713121,0.0
26,2010,Cabo Verde,84.8786,42.5353480809318,10.0,3312.82598480901,97.0,30.0,51.0,Western Africa,Africa,3.750335449794665,3.9318256327243257,8.105556875960861,3.4011973816621555
27,2010,Cambodia,48.0808,5.25150406850057,9.233532934131736,785.692884137826,90.0,1.26,202.0,South-Eastern Asia,Asia,1.6585145248115307,5.308267697401205,6.666565983424238,0.23111172096338664
28,2010,Cameroon,125.2854,1.82440960865174,6.0,1309.12220801948,79.0,4.3,676.0,Middle Africa,Africa,0.6012564325877241,6.516193076042964,7.1771121213836775,1.4586150226995167
